bairro_id,repeticoes,media_dijkstra_tempo_real_us,media_bellman_ford_tempo_real_us,media_dijkstra_cpu_us,media_bellman_ford_cpu_us
1,20000,0.4731,0.3982,0.7425,0.6728
2,20000,0.4744,0.3077,0.7324,0.5675
3,20000,0.4840,0.3217,0.7405,0.5797
4,20000,0.5019,0.3822,0.7658,0.6468
5,20000,0.4559,0.3604,0.7159,0.6177
6,20000,0.5290,0.3572,0.7836,0.6164
7,20000,0.4385,0.2836,0.6975,0.5444
8,20000,0.5253,0.3905,0.7781,0.6484
9,20000,0.4716,0.3291,0.7285,0.5922
10,20000,0.5440,0.3076,0.8011,0.5634
11,20000,0.4530,0.2460,0.7141,0.5057
12,20000,0.4993,0.2999,0.7565,0.5566
13,20000,0.4846,0.3107,0.7368,0.5659
14,20000,0.5319,0.2943,0.7879,0.5491
15,20000,0.4588,0.2919,0.7121,0.5560
16,20000,0.4970,0.2911,0.7542,0.5533
17,20000,0.4437,0.2912,0.6943,0.5472
18,20000,0.4910,0.3547,0.7463,0.6128
19,20000,0.4521,0.3497,0.7101,0.6063
20,20000,0.4901,0.2866,0.7463,0.5444
